year,median_home_price,median_rent,median_hh_income_nom,cpi,median_hh_income_real,price_to_rent,price_to_income,income_growth_nom,income_growth_real,cpi_yoy
1993,150750,454.99687220732795,31241,144.45833333333334,67836.31271993076,27.610079909023327,4.825389712237124,NA,NA,NA
1994,159750,474.902144772118,32264,148.225,68277.34997470063,28.03209070868275,4.951338953632532,3.2745430684036902,0.6501492152009014,2.60744159215458
1995,162000,498.976764968722,34076,152.38333333333333,70144.08377994093,27.05536800064475,4.754079117267285,5.616166625340946,2.734045486434389,2.805419688536581
1996,171500,524.7998212689901,35492,156.85,70978.34300286899,27.232605819317467,4.832074833765356,4.155417302500286,1.1893508019084509,2.9312041999343785
1997,183000,547.1260053619303,37005,160.51666666666665,72313.63331948916,27.872921137996254,4.945277665180381,4.262932491829141,1.881264425356055,2.337689937307408
1998,193000,566.4932975871313,38885,163.00833333333333,74825.94371453403,28.39103904995378,4.963353478204963,5.080394541278199,3.474186373605681,1.5522790987436474
1999,207750,584.3811438784629,40696,166.625,76611.05956489123,29.62535698037611,5.104924316886181,4.657322875144665,2.385691060800421,2.2187004754358197
2000,227000,602,41990,172.2,76487.8818234611,31.423034330011074,5.406049059299833,3.179673678002759,-0.16078323695001284,3.3458364591147705
2001,238250,624.32618409294,42228,177.06666666666666,74807.2358810241,31.800951445776754,5.64199109595529,0.5668016194331882,-2.197270864835865,2.8261711188540595
2002,254750,653.1081322609472,42409,179.875,73954.93022932592,32.50482671709349,6.006979650545874,0.4286255565028041,-1.139335843197986,1.5860316265060348
2003,275250,682.4280607685433,43318,183.95833333333334,73863.32221970554,33.61160145461783,6.35417147606076,2.1434129547973413,-0.12387005076782698,2.2700949733611253
2004,301500,708.2511170688114,44389,189.05,73650.9895530283,35.474705785121884,6.79222329856496,2.4724133154808703,-0.28746698672131865,2.7678369195923036
2005,343250,737.0330652368186,46326,195.29166666666666,74408.23409430339,38.809882508426895,7.409446099382636,4.3636937079005955,1.0281525691245186,3.301595697787163
2006,368500,769.3118856121538,48201,201.525,75025.17640491255,39.916624073600815,7.645069604365054,4.047403186115783,0.8291317730068082,3.19180712609346
2007,344250,804.549597855228,50233,207.36666666666667,75985.38631248995,35.65659603394902,6.853064718412199,4.215680172610536,1.2798502497283426,2.8987305131704
2008,295750,843.28418230563,50303,215.29166666666666,73290.31248306562,29.226011646452285,5.879371011669284,0.1393506260824573,-3.546831779390902,3.821732840379344
2009,260250,876.100983020554,49777,214.525,72783.1277240415,24.75456644875285,5.228318299616289,-1.0456632805200483,-0.6920215535188401,-0.3561060576736885
2010,263000,898.9651474530831,49276,218.04166666666666,70888.5119816549,24.37988472496426,5.33728387044403,-1.0064889406754096,-2.603097450785663,1.6392805811288325
2011,235750,924.2502234137622,50054,224.88333333333333,69817.03898317646,21.25596817360835,4.709913293642866,1.5788619206104304,-1.5114903226572496,3.1377794763997713
2012,253500,962.4468275245755,51017,229.525,69721.1958392332,21.949264516081108,4.9689319246525665,1.923922164062808,-0.1372775834368345,2.0640332024012498
2013,301000,1004.6782841823056,52250,233.025,70333.73565068126,24.9665327978581,5.760765550239235,2.416841445008533,0.8785560891131139,1.5248883563881988
2014,331750,1046.3717605004467,53657,236.74166666666667,71093.77792248935,26.42066077940712,6.182790689006095,2.692822966507169,1.0806226411503195,1.5949647748811024
2015,351500,1094.521000893655,56516,237.09166666666667,74771.31756353029,26.762087381375594,6.219477670040343,5.328288946456183,5.172800979926007,0.1478404730895111
2016,366000,1149.1260053619303,59039,240,77162.74302083334,26.54191085893464,6.199291993428073,4.464222521055983,3.1983192689779116,1.2266704158025998
2017,387500,1213.1456657730116,61372,245.15,78526.86967162961,26.618128043255666,6.313954246236069,3.951625196903752,1.7678566072073965,2.1458333333333357
2018,407750,1284.1590705987487,63179,251.08333333333334,78928.66707600399,26.46024736703657,6.453884993431362,2.944339438180288,0.511668688761624,2.4202868991773707
2019,345500,1358.131367292225,68703,255.65,84296.55202425191,21.199471096871925,5.028892479222159,8.743411576631477,6.800931964401413,1.8187852638566149
2020,345750,1429.6827524575515,67521,258.7833333333333,81843.17514651897,20.153072386494685,5.120629137601635,-1.7204488886948144,-2.910411895645637,1.2256340048242942
2021,440250,1506.0759606791778,70784,271.1333333333333,81890.23063683305,24.359661104646715,6.219625904159132,4.8325706076628006,0.05749470280183022,4.7723320667224955
2022,485500,1623.0866845397675,74580,292.7166666666667,79919.88213858679,24.92678531510808,6.509788146956288,5.362793851717895,-2.4060849296961395,7.960413080895012
2023,457000,1759.7336907953531,80610,304.78333333333336,82961.6943730519,21.641532200318714,5.669271802505892,8.085277554304104,3.8060769774289627,4.122302567898428
2024,477250,1876.4754244861485,80610,313.675,80610,21.19443335860587,5.920481329859819,0,-2.834674955500649,2.9173729972111317
